day;temp;pressure;windDir(from);windSpeed;weather;cloud;temp;pressure;windDir(from);windSpeed;weather;cloud
1;24;743;45;2;0;10;22;743;45;2;0;10
2;22;743;0;3;0;10;18;744;0;3;0;3
3;21;746;0;3;0;10;19;746;0;3;0;1
4;21;747;45;1;0;10;20;746;45;1;0;3
5;26;748;90;1;0;3;23;749;90;1;0;3
6;28;750;90;1;0;1;24;750;90;1;0;1
7;29;754;90;1;0;1;23;754;90;1;0;1
8;30;755;0;2;0;3;24;755;0;2;0;1
9;31;753;0;2;0;3;26;752;0;2;0;1
10;32;750;0;1;0;10;27;749;0;1;0;5
11;31;750;45;2;0;3;27;750;45;2;0;1
12;31;751;0;1;0;1;26;750;0;1;0;1
13;33;750;90;1;0;1;27;749;90;1;0;1
14;33;748;225;1;0;5;24;748;225;1;0;5
16;32;745;0;2;0;3;25;745;0;2;0;1
17;21;745;315;1;1;10;23;744;315;1;0;1
19;29;741;315;1;0;3;24;742;315;1;0;10
20;26;743;270;1;0;5;21;743;270;1;0;1
21;24;742;315;2;0;3;19;742;315;2;0;10
22;22;744;315;2;0;3;17;744;315;2;0;1
23;19;741;0;2;0;10;17;743;0;2;0;5
24;20;747;315;1;0;10;17;749;315;1;0;1
